Pos;EQUIPE;P;J;V;E;D;GP;GC;SG;%
1;Rodrigo/Belgica;26;11;8;2;1;25;10;15;79
2;Icaro/Argentina;22;11;7;1;3;23;10;13;67
3;Israel/Brasil;21;11;7;0;4;24;23;1;64
4;Barone/Italia;20;11;6;2;3;20;12;8;61
5;Jeiziel/Inglaterra;19;11;6;1;4;26;15;11;58
6;Eric/Maced_Norte;19;11;6;1;4;21;15;6;58
7;Douglas/Alemanha;15;11;5;0;6;29;23;6;45
8;Rhuan/Chipre;15;11;5;0;6;18;23;-5;45
9;Mateus/Marrocos;15;11;5;0;6;22;27;-5;45
10;Daniel/Franca;13;11;4;1;6;22;25;-3;39
11;Joao/Holanda;9;11;3;0;8;16;26;-10;27
12;Jason/Colombia;0;11;0;0;11;0;37;-37;0
