Pos;EQUIPE;P;J;V;E;D;GP;GC;SG;%;PE;GA
1;Vitin/Ceara;26;11;8;2;1;32;17;15;79;0;0
2;Eric/Santos;24;11;7;3;1;27;12;15;73;0;0
3;Barone/Vasco;21;11;6;3;2;32;20;12;64;0;0
4;Douglas/Fluminense;20;11;6;2;3;29;24;5;61;0;0
5;Icaro/CAP;19;11;5;4;2;25;14;11;58;0;0
6;Pedro/Goias;19;11;6;1;4;27;18;9;58;0;0
7;Jeiziel/Fortaleza;16;11;5;1;5;29;28;1;48;0;0
8;Israel/Cruzeiro;15;11;4;3;4;26;28;-2;45;0;0
9;Joao/Corinthians;9;11;3;0;8;21;30;-9;27;0;0
10;Asafe/Flamengo;6;9;1;3;5;21;31;-10;22;0;0
11;Gilzinx7/Sport;6;10;2;0;8;8;25;-17;20;0;0
12;Jaff/Botafogo;0;10;0;0;10;0;30;-30;0;0;0
