Pos;EQUIPE;P;J;V;E;D;GP;GC;SG;%
1;Douglas/Operario;24;10;8;0;2;23;17;6;80
2;Israel/Ituano;22;11;7;1;3;33;23;10;67
3;Eric/Chapecoense;22;11;6;4;1;25;11;14;67
4;Icaro/Londrina;20;11;5;5;1;27;17;10;61
5;Vitin/Náutico;17;11;5;2;4;25;20;5;52
6;Barone/Vila_Nova;17;11;5;2;4;22;18;4;52
7;Jeiziel/Sport;14;11;4;2;5;21;17;4;42
8;Rodrigo/Criciuma;13;11;3;4;4;23;20;3;39
9;Mateus/Samp_Corr;12;11;3;3;5;21;26;-5;36
10;Joao/Vasco;12;11;3;3;5;18;25;-7;36
11;Daniel/Bahia;8;11;2;2;7;15;33;-18;24
12;Jason/Gremio;0;10;0;0;10;4;30;-26;0
