Pos;EQUIPE;P;J;V;E;D;GP;GC;SG;%;PE;GA
1;Jeiziel/Wolksburg;38;15;12;2;1;35;14;21;84;0;2.5
2;Alysson/ Milan;35;15;11;2;2;41;16;25;78;0;2.56
3;Eric/Leverkusen;35;15;10;5;0;40;15;25;78;0;2.67
4;Icaro/Roma;34;15;11;1;3;38;11;27;76;0;3.45
5;Barone/Bayern;29;15;9;2;4;34;20;14;64;0;1.7
6;Gabriel/Monaco;26;15;8;2;5;27;23;4;58;0;1.17
7;Rikelme/Benfica;26;15;7;5;3;35;20;15;58;0;1.75
8;Gustavo/PSG;24;15;7;3;5;38;27;11;53;0;1.41
9;Daniel/Arsenal;24;15;7;3;5;34;26;8;53;0;1.31
10;Douglas/Napoli;22;15;7;1;7;20;23;-3;49;0;0.87
11;Joao/Ajax;18;15;5;3;7;29;25;4;40;0;1.16
12;Israel/Inter_milan;16;15;5;1;9;18;25;-7;36;0;0.72
13;Marcos/Barcelona;0;15;0;0;12;0;36;-36;0;0;0.0
14;Ruan/Sevilla;0;15;0;0;12;0;36;-36;0;0;0.0
15;Jaison/Paok;0;15;0;0;12;0;36;-36;0;0;0.0
