Pos;EQUIPE;P;J;E;D;GP;GC;%
1;Riquelme/CAM;32;16;2;4;36;30;67
2;Alysson/Coritiba;31;16;4;3;37;22;65
3;Jeiziel/Fortaleza;24;16;3;4;30;26;50
4;Icaro/SPFC;24;16;6;3;28;20;50
5;Eric/Amer_Mg;21;16;6;5;33;26;44
6;Gabriel/Flamengo;20;16;2;6;18;23;42
7;Daniel/Botafogo;16;16;4;7;33;35;33
8;Gustavo/Goias;12;16;3;9;24;39;25
9;Barone/Vasco;8;16;2;11;17;35;17
;;;2° DIVISÃO;;;;;
Pos;EQUIPE;P;J;E;D;GP;GC;%
1;Joao/RB_Brag;42;18;0;2;36;12;78
2;Jaison/CSA;40;18;1;4;31;15;74
3;Hony/CAP;33;18;0;2;32;12;61
4;Luciano/Santos;25;18;1;2;16;8;46
5;Henrique/Internacional;21;18;0;3;14;8;39
6;Israel/Bahia;15;18;0;4;2;11;28
7;Pedro2/Samp_Corr;6;18;0;11;4;33;11
8;Vitin/Londrina;3;18;0;12;5;11;6
9;Cicero/Criciuma;0;18;0;12;0;6;0
10;Douglas/Corinthians;0;18;0;9;0;24;0
